
--- Channel: -1001556007364 ---
  URL: https://cutt.ly/Yyt4nsnK -> [PASS]
  URL: https://cutt.ly/Syt4ngTc -> [PASS]
  URL: https://cutt.ly/fyt4njPl -> [PASS]
  URL: https://cutt.ly/dyt4nliz -> [PASS]
  URL: https://cutt.ly/ryt4kMsK -> [PASS]
  URL: https://ajiio.store/share/5lj5ht0 -> [FAIL]
  URL: https://cutt.ly/Qyt4jiK5 -> [PASS]
  URL: https://cutt.ly/Ayrjx4zH -> [PASS]
  URL: https://cutt.ly/XyehcKT9 -> [PASS]
  URL: https://cutt.ly/8yehcXl0 -> [PASS]
  URL: https://dl.flipkart.com/s/9oY!u7uuuN -> [PASS]
  URL: https://cutt.ly/pytcNGHL -> [PASS]
  URL: https://amzn.to/4fqgpJP -> [PASS]
  URL: https://amzn.to/4ft82gH -> [PASS]
  URL: https://cutt.ly/Wyt2hnIk -> [PASS]
  URL: https://cutt.ly/Oyt2hUQk -> [PASS]
  URL: https://cutt.ly/4yt2hA83 -> [PASS]
  URL: https://ajiio.store/share/sa242ko -> [FAIL]
  URL: https://ajiio.store/share/3ldz5ca -> [FAIL]
  URL: https://cutt.ly/YytNgR3I -> [PASS]
  URL: https://cutt.ly/4ytNgYzd -> [PASS]
  URL: https://cutt.ly/vytVOB5K -> [PASS]
  URL: https://cutt.ly/6yeQWSLY -> [PASS]
  URL: https://amzn.to/3T6DLMU -> [PASS]
  URL: https://cutt.ly/cytGLCKu -> [PASS]
  URL: https://cutt.ly/1ytGLNfz -> [PASS]
  URL: https://cutt.ly/nytGLMoj -> [PASS]
  URL: https://amzn.to/4flGr0Y -> [PASS]
  URL: https://cutt.ly/zytcIjKp -> [PASS]
  URL: https://cutt.ly/lytcIziZ -> [PASS]
  URL: https://amzn.to/3T6ah23 -> [PASS]
  URL: https://amzn.to/45modHK -> [PASS]
  URL: https://dl.flipkart.com/s/l0hkZsuuuN -> [PASS]
  URL: https://dl.flipkart.com/s/WVRgBzNNNN -> [PASS]
  URL: https://dl.flipkart.com/s/WVykNzNNNN -> [PASS]
  URL: https://cutt.ly/HytGQQ4r -> [PASS]
  URL: https://cutt.ly/MytGQWHm -> [PASS]
  URL: https://cutt.ly/tytc2q88 -> [PASS]
  URL: https://cutt.ly/Wytc2tiR -> [PASS]
  URL: https://cutt.ly/7ytc2u2k -> [PASS]
  URL: https://cutt.ly/eytc2pr2 -> [PASS]
  URL: https://amzn.to/44szqpX -> [PASS]
  URL: https://amzn.to/3RtZ2jn -> [PASS]
  URL: https://cutt.ly/1ytDpHGg -> [PASS]
  URL: https://cutt.ly/QytSbstD -> [PASS]
  URL: https://dl.flipkart.com/s/WY12SmNNNN -> [PASS]
  URL: https://amzn.to/4vG9e6e -> [PASS]
  URL: https://dl.flipkart.com/s/lQh9CcuuuN -> [PASS]

--- Channel: -1001264397054 ---
  URL: https://fkrt.cc/hu7mcUG -> [FAIL]
  URL: https://bitli.in/qvvsGVu -> [FAIL]
  URL: https://bitli.in/gqmPp0a -> [FAIL]
